2026-04-24 09:33:07,129 | INFO | ui.console | Raw instruction received: run
2026-04-24 09:33:07,130 | INFO | ui.console | Parsed instruction task: run
2026-04-24 09:33:07,130 | INFO | ui.console.handler | Dispatch command: task=run
2026-04-24 09:33:07,130 | INFO | ui.console.handler | Handling run command
2026-04-24 09:33:07,144 | INFO | ui.console.handler | Game started, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8]
2026-04-24 09:33:07,144 | INFO | ui.console | Instruction processed
2026-04-24 09:33:12,871 | INFO | ui.console | Raw instruction received: game
2026-04-24 09:33:12,872 | INFO | ui.console | Parsed instruction task: game
2026-04-24 09:33:12,872 | INFO | ui.console.handler | Dispatch command: task=game
2026-04-24 09:33:12,872 | INFO | ui.console.handler | Handling game command
2026-04-24 09:33:12,873 | INFO | ui.console.handler | Showing game state, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8]
2026-04-24 09:33:12,875 | INFO | ui.console | Instruction processed
2026-04-24 09:33:36,580 | INFO | ui.console | Raw instruction received: market
2026-04-24 09:33:36,580 | INFO | ui.console | Parsed instruction task: market
2026-04-24 09:33:36,580 | INFO | ui.console.handler | Dispatch command: task=market
2026-04-24 09:33:36,580 | INFO | ui.console.handler | Handling market command
2026-04-24 09:33:36,580 | INFO | ui.console.handler | Showing market, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8]
2026-04-24 09:33:36,584 | INFO | ui.console | Instruction processed
2026-04-24 09:33:44,136 | INFO | ui.console | Raw instruction received: hand
2026-04-24 09:33:44,136 | INFO | ui.console | Parsed instruction task: hand
2026-04-24 09:33:44,136 | INFO | ui.console.handler | Dispatch command: task=hand
2026-04-24 09:33:44,136 | INFO | ui.console.handler | Handling hand command
2026-04-24 09:33:44,136 | INFO | ui.console.handler | Showing hand, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8] player id=[ab51d92d-546d-4cf8-b9f6-d846873b7a9a]
2026-04-24 09:33:44,140 | INFO | ui.console | Instruction processed
2026-04-24 09:33:51,099 | INFO | ui.console | Raw instruction received: players
2026-04-24 09:33:51,099 | INFO | ui.console | Parsed instruction task: players
2026-04-24 09:33:51,099 | INFO | ui.console.handler | Dispatch command: task=players
2026-04-24 09:33:51,099 | INFO | ui.console.handler | Handling players command
2026-04-24 09:33:51,099 | INFO | ui.console.handler | Showing players, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8]
